Date,High,Low,Open,Close,Volume,Adj Close
2019-09-30,224.5800018310547,220.7899932861328,220.89999389648438,223.97000122070312,25977400.0,222.77088928222656
2019-10-01,228.22000122070312,224.1999969482422,225.07000732421875,224.58999633789062,34805800.0,223.3875732421875
2019-10-02,223.5800018310547,217.92999267578125,223.05999755859375,218.9600067138672,34612300.0,217.7877197265625
2019-10-03,220.9600067138672,215.1300048828125,218.42999267578125,220.82000732421875,28606500.0,219.63775634765625
2019-10-04,227.49000549316406,223.88999938964844,225.63999938964844,227.00999450683594,34619700.0,225.79461669921875
2019-10-07,229.92999267578125,225.83999633789062,226.27000427246094,227.05999755859375,30576500.0,225.84434509277344
2019-10-08,228.05999755859375,224.3300018310547,225.82000732421875,224.39999389648438,27955000.0,223.19859313964844
2019-10-09,227.7899932861328,225.63999938964844,227.02999877929688,227.02999877929688,18692600.0,225.81451416015625
2019-10-10,230.44000244140625,227.3000030517578,227.92999267578125,230.08999633789062,28253400.0,228.85812377929688
2019-10-11,237.63999938964844,232.30999755859375,232.9499969482422,236.2100067138672,41698900.0,234.9453582763672
2019-10-14,238.1300048828125,234.6699981689453,234.89999389648438,235.8699951171875,24106900.0,234.607177734375
2019-10-15,237.64999389648438,234.8800048828125,236.38999938964844,235.32000732421875,21840000.0,234.0601348876953
2019-10-16,235.24000549316406,233.1999969482422,233.3699951171875,234.3699951171875,18475800.0,233.11520385742188
2019-10-17,236.14999389648438,233.52000427246094,235.08999633789062,235.27999877929688,16896300.0,234.0203399658203
2019-10-18,237.5800018310547,234.2899932861328,234.58999633789062,236.41000366210938,24358400.0,235.14430236816406
2019-10-21,240.99000549316406,237.32000732421875,237.52000427246094,240.50999450683594,21811800.0,239.2223358154297
2019-10-22,242.1999969482422,239.6199951171875,241.16000366210938,239.9600067138672,20573400.0,238.67529296875
2019-10-23,243.24000549316406,241.22000122070312,242.10000610351562,243.17999267578125,18957200.0,241.87803649902344
2019-10-24,244.8000030517578,241.80999755859375,244.50999450683594,243.5800018310547,17318800.0,242.27589416503906
2019-10-25,246.72999572753906,242.8800048828125,243.16000366210938,246.5800018310547,18369300.0,245.2598419189453
2019-10-28,249.25,246.72000122070312,247.4199981689453,249.0500030517578,24143200.0,247.71661376953125
2019-10-29,249.75,242.57000732421875,248.97000122070312,243.2899932861328,35709900.0,241.98744201660156
2019-10-30,245.3000030517578,241.2100067138672,244.75999450683594,243.25999450683594,31130500.0,241.95761108398438
2019-10-31,249.1699981689453,237.25999450683594,247.24000549316406,248.75999450683594,34790500.0,247.42816162109375
2019-11-01,255.92999267578125,249.16000366210938,249.5399932861328,255.82000732421875,37781300.0,254.45037841796875
2019-11-04,257.8500061035156,255.3800048828125,257.3299865722656,257.5,25818000.0,256.1213684082031
2019-11-05,258.19000244140625,256.32000732421875,257.04998779296875,257.1300048828125,19974400.0,255.7533721923828
2019-11-06,257.489990234375,255.3699951171875,256.7699890136719,257.239990234375,18966100.0,255.86276245117188
2019-11-07,260.3500061035156,258.1099853515625,258.739990234375,259.42999267578125,23735100.0,258.81573486328125
2019-11-08,260.44000244140625,256.8500061035156,258.69000244140625,260.1400146484375,17496600.0,259.5240783691406
2019-11-11,262.4700012207031,258.2799987792969,258.29998779296875,262.20001220703125,20455300.0,261.5791931152344
2019-11-12,262.7900085449219,260.9200134277344,261.54998779296875,261.9599914550781,21847200.0,261.3397521972656
2019-11-13,264.7799987792969,261.07000732421875,261.1300048828125,264.4700012207031,25683600.0,263.84381103515625
2019-11-14,264.8800048828125,262.1000061035156,263.75,262.6400146484375,22295700.0,262.0181579589844
2019-11-15,265.7799987792969,263.010009765625,263.67999267578125,265.760009765625,25051600.0,265.1307678222656
2019-11-18,267.42999267578125,264.2300109863281,265.79998779296875,267.1000061035156,21675800.0,266.46759033203125
2019-11-19,268.0,265.3900146484375,267.8999938964844,266.2900085449219,19041800.0,265.6595153808594
2019-11-20,266.0799865722656,260.3999938964844,265.5400085449219,263.19000244140625,26558600.0,262.5668640136719
2019-11-21,264.010009765625,261.17999267578125,263.69000244140625,262.010009765625,30348800.0,261.3896484375
2019-11-22,263.17999267578125,260.8399963378906,262.5899963378906,261.7799987792969,16331300.0,261.1601867675781
2019-11-25,266.44000244140625,262.5199890136719,262.7099914550781,266.3699951171875,21005100.0,265.73931884765625
2019-11-26,267.1600036621094,262.5,266.94000244140625,264.2900085449219,26301900.0,263.66424560546875
2019-11-27,267.9800109863281,265.30999755859375,265.5799865722656,267.8399963378906,16308900.0,267.2058410644531
2019-11-29,268.0,265.8999938964844,266.6000061035156,267.25,11654400.0,266.61724853515625
2019-12-02,268.25,263.45001220703125,267.2699890136719,264.1600036621094,23621800.0,263.5345458984375
2019-12-03,259.5299987792969,256.2900085449219,258.30999755859375,259.45001220703125,28607600.0,258.8357238769531
2019-12-04,263.30999755859375,260.67999267578125,261.07000732421875,261.739990234375,16795400.0,261.1202697753906
2019-12-05,265.8900146484375,262.7300109863281,263.7900085449219,265.5799865722656,18606100.0,264.951171875
2019-12-06,271.0,267.29998779296875,267.4800109863281,270.7099914550781,26518900.0,270.06903076171875
2019-12-09,270.79998779296875,264.9100036621094,270.0,266.9200134277344,32010600.0,266.28802490234375
2019-12-10,270.07000732421875,265.8599853515625,268.6000061035156,268.4800109863281,22605100.0,267.8443298339844
2019-12-11,271.1000061035156,268.5,268.80999755859375,270.7699890136719,19689200.0,270.12890625
2019-12-12,272.55999755859375,267.32000732421875,267.7799987792969,271.4599914550781,34327600.0,270.8172607421875
2019-12-13,275.29998779296875,270.92999267578125,271.4599914550781,275.1499938964844,33396900.0,274.49853515625
2019-12-16,280.7900085449219,276.9800109863281,277.0,279.8599853515625,32046500.0,279.1973571777344
2019-12-17,281.7699890136719,278.79998779296875,279.57000732421875,280.4100036621094,28539600.0,279.74609375
2019-12-18,281.8999938964844,279.1199951171875,279.79998779296875,279.739990234375,29007100.0,279.0776672363281
2019-12-19,281.17999267578125,278.95001220703125,279.5,280.0199890136719,24592300.0,279.35699462890625
2019-12-20,282.6499938964844,278.55999755859375,282.2300109863281,279.44000244140625,68994500.0,278.77838134765625
2019-12-23,284.25,280.3699951171875,280.5299987792969,284.0,24643000.0,283.32757568359375
2019-12-24,284.8900146484375,282.9200134277344,284.69000244140625,284.2699890136719,12119700.0,283.596923828125
2019-12-26,289.9800109863281,284.70001220703125,284.82000732421875,289.9100036621094,23280300.0,289.2236022949219
2019-12-27,293.9700012207031,288.1199951171875,291.1199951171875,289.79998779296875,36566500.0,289.11383056640625
2019-12-30,292.69000244140625,285.2200012207031,289.4599914550781,291.5199890136719,36028600.0,290.82977294921875
2019-12-31,293.67999267578125,289.5199890136719,289.92999267578125,293.6499938964844,25201400.0,292.9547119140625
